player_id,year,player_name,position_combine,School,height(1),Height(inches),weight,forty_yard,vertical_leap,bench_press,broad_jump,three_cone,shuttle_run,nfl_team,position_nfl,position_nfl_standard,draft_round,draft_pick
2012MelvIngr,2012,Melvin Ingram,OLB,South Carolina,6 ft 1 in,73,264,4.69,34.5,28,109,6.83,4.18,SDG,DE,DE,1,18
2012BrucIrvi,2012,Bruce Irvin,OLB,West Virginia,6 ft 3 in,75,245,4.41,33.5,23,123,6.7,4.03,SEA,DE,DE,1,15
2012Asa Jack,2012,Asa Jackson,CB,Cal Poly,5 ft 10 in,70,191,4.48,34.5,19,118,6.97,4.03,BAL,DB,DB,5,169
2012MaliJack,2012,Malik Jackson,DE,Tennessee,6 ft 5 in,77,284,4.85,28,25,105,7.38,4.41,DEN,DT,DT,5,137
2012LaMiJame,2012,LaMichael James,RB,Oregon,5 ft 8 in,68,194,4.35,35,15,123,6.88,4.12,SFO,RB,RB,2,61
2012JameJohn,2012,James-Michael Johnson,ILB,Nevada,6 ft 1 in,73,241,4.6,37,23,124,7.34,4.37,CLE,LB,LB,4,120
2012TrumJohn,2012,Trumaine Johnson,CB,Montana,6 ft 2 in,74,204,4.5,35.5,19,122,7.2,4.15,STL,DB,DB,3,65
2012Ben Jone,2012,Ben Jones,C,Georgia,6 ft 3 in,75,303,5.35,30.5,29,105,7.95,4.74,HOU,C,C,4,99
2012ChanJone,2012,Chandler Jones,DE,Syracuse,6 ft 5 in,77,266,4.77,35,22,120,7.07,4.38,NWE,DE,DE,1,21
2012MarvJone,2012,Marvin Jones,WR,California,6 ft 2 in,74,199,4.46,33,22,112,6.81,4.11,CIN,WR,WR,5,166
2012MarcJone,2012,Marcel Jones,OT,Nebraska,6 ft 6 in,78,320,5.57,27.5,13,95,8.03,5.12,NOR,OL,T,7,234
2012SeniKele,2012,Senio Kelemete,OG,Washington,6 ft 4 in,76,307,5.39,25,21,101,7.77,4.58,ARI,G,G,5,151
2012LukeKuec,2012,Luke Kuechly,ILB,Boston Col.,6 ft 3 in,75,242,4.58,38,27,123,6.92,4.12,CAR,LB,LB,1,9
2012MarkKuhn,2012,Markus Kuhn,DT,North Carolina State,6 ft 5 in,77,299,4.87,34.5,28,112,7.43,4.41,NYG,DT,DT,7,239
2012JoshLeRi,2012,Josh LeRibeus,OG,SMU,6 ft 3 in,75,312,5.31,26,29,96,7.64,4.65,WAS,G,G,3,71
2012RonnLewi,2012,Ronnell Lewis,OLB,Oklahoma,6 ft 2 in,74,253,4.65,31,36,112,7.09,4.4,DET,LB,LB,4,125
2012TerrMann,2012,Terrell Manning,OLB,North Carolina State,6 ft 2 in,74,237,4.71,32.5,22,114,7.18,4.43,GNB,LB,LB,5,163
2012BranMars,2012,Brandon Marshall,OLB,Nevada,6 ft 1 in,73,242,4.72,30.5,28,108,7.05,4.09,JAX,LB,LB,5,142
2012DougMart,2012,Doug Martin,RB,Boise State,5 ft 9 in,69,223,4.46,36,28,120,6.79,4.16,TAM,RB,RB,1,31
2012KeshMart,2012,Keshawn Martin,WR,Michigan State,5 ft 11 in,71,188,4.42,39.5,13,122,6.85,4.13,HOU,WR,WR,4,121
2012MikeMart,2012,Mike Martin,DT,Michigan,6 ft 1 in,73,306,4.8,33.5,36,113,7.19,4.25,TEN,DT,DT,3,82
2012JonaMass,2012,Jonathan Massaquoi,OLB,Troy,6 ft 2 in,74,264,4.81,33.5,20,120,7.38,4.53,ATL,DE,DE,5,164
2012BobbMass,2012,Bobby Massie,OT,Mississippi,6 ft 6 in,78,316,5.18,27.5,22,103,7.7,4.95,ARI,T,T,4,112
2012SheaMcCl,2012,Shea McClellin,OLB,Boise State,6 ft 3 in,75,260,4.62,31.5,19,118,7.07,4.33,CHI,DE,DE,1,19
2012JerrMcMi,2012,Jerron McMillian,S,Maine,5 ft 11 in,71,203,4.47,36.5,17,120,6.69,4.22,GNB,DB,DB,4,133
2012CaleMcSu,2012,Caleb McSurdy,ILB,Montana,6 ft 1 in,73,245,4.82,30,26,110,7.26,4.28,DAL,LB,LB,7,222
2012WhitMerc,2012,Whitney Mercilus,DE,Illinois,6 ft 4 in,76,261,4.68,32,27,118,7.17,4.53,HOU,DE,DE,1,26
2012RyanMill,2012,Ryan Miller,OG,Colorado,6 ft 7 in,79,321,5.16,28,32,100,7.72,4.78,CLE,G,G,5,160
2012CharMitc,2012,Charles Mitchell,S,Mississippi State,5 ft 11 in,71,202,4.56,37,19,127,6.93,4.22,ATL,DB,DB,6,192
2012AlfrMorr,2012,Alfred Morris,RB,Florida Atlantic,5 ft 10 in,70,219,4.63,35.5,16,117,7.01,4.19,WAS,RB,RB,6,173
2012BranMosl,2012,Brandon Mosley,OT,Auburn,6 ft 6 in,78,314,5.14,27,30,103,7.43,4.78,NYG,T,T,4,131
2012JoshNorm,2012,Josh Norman,CB,Coastal Carolina,6 ft 0 in,72,197,4.61,33,14,124,7.09,4.23,CAR,DB,DB,5,143
2012KeleOsem,2012,Kelechi Osemele,OT,Iowa State,6 ft 5 in,77,333,5.22,26.5,32,104,7.91,4.87,BAL,T,T,2,60
2012DaviPaul,2012,David Paulson,TE,Oregon,6 ft 3 in,75,246,4.79,32,21,110,7.18,4.4,PIT,TE,TE,7,240
2012NickPerr,2012,Nick Perry,DE,USC,6 ft 3 in,75,271,4.55,38.5,35,124,7.25,4.66,GNB,DE,DE,1,28
2012BernPier,2012,Bernard Pierce,RB,Temple,6 ft 0 in,72,218,4.45,36.5,17,123,7.07,4.28,BAL,RB,RB,3,84
2012DontPoe,2012,Dontari Poe,DT,Memphis,6 ft 3 in,75,346,4.89,29.5,44,105,7.9,4.56,KAN,DT,DT,1,11
2012DeViPose,2012,DeVier Posey,WR,Ohio State,6 ft 2 in,74,211,4.39,36.5,14,123,7.03,4.15,HOU,WR,WR,3,68
2012NatePott,2012,Nate Potter,OT,Boise State,6 ft 6 in,78,303,5.26,28.5,22,100,7.49,4.67,ARI,T,T,7,221
2012BriaQuic,2012,Brian Quick,WR,Appalachian State,6 ft 3 in,75,220,4.5,34,15,119,7.1,4.23,STL,WR,WR,2,33
2012ChriRain,2012,Chris Rainey,RB,Florida,5 ft 8 in,68,180,4.36,36.5,16,120,6.5,3.93,PIT,RB,RB,5,159
2012KheeRand,2012,Kheeston Randall,DT,Texas,6 ft 5 in,77,293,5,34,28,111,7.49,4.84,MIA,DT,DT,7,215
2012RuebRand,2012,Rueben Randle,WR,LSU,6 ft 3 in,75,210,4.55,31,15,121,6.99,4.36,NYG,WR,WR,2,63
