player_name,position,school,height,weight,forty_yard,vertical_leap,bench_press,broad_jump,three_cone,shuttle_run,year,player_id,column_a,draft_round,draft_pick,tm,hof,position_standard,first4av,age,to,ap1,pb,st,carav,drav,g,cmp,pass_att,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_tds,rec,rec_yds,rec_tds,tkl,def_int,sk
Corey Crume,RB,East. Kentucky,5-11,225.0,4.76,37.0,15.0,115.0,7.36,4.32,2001,2001CRUMECOREYEAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alge Crumpler,TE,North Carolina,6-2,266.0,4.76,34.0,22.0,112.0,7.38,4.43,2001,2001CRUMPLERALGENOR,2001Alge Crumpler,2.0,35.0,ATL,No,TE,32.0,23.0,2010.0,0.0,4.0,10.0,41.0,38.0,155.0,,,,,,,,,373.0,4743.0,39.0,18.0,,
Will Cuthbert,OG,Alabama,6-5,318.0,5.53,24.5,17.0,91.0,8.84,5.06,2001,2001CUTHBERTWILLALA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ronney Daniels,WR,Auburn,6-1,212.0,4.61,34.5,,118.0,,,2001,2001DANIELSRONNEYAUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leonard Davis,OT,Texas,6-6,370.0,5.32,28.0,33.0,97.0,8.72,5.18,2001,2001DAVISLEONARDTEX,2001Leonard Davis,1.0,2.0,ARI,No,T,31.0,23.0,2012.0,0.0,3.0,10.0,67.0,27.0,171.0,,,,,,,,,,,,1.0,,
Ennis Davis,DT,USC,6-4,302.0,5.1,27.5,23.0,99.0,7.98,4.87,2001,2001DAVISENNISUSC,2001Ennis Davis,7.0,221.0,NOR,No,DT,0.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
Rick DeMulling,OG,Idaho,6-4,307.0,5.24,31.5,32.0,108.0,7.62,4.6,2001,2001DEMULLINGRICKIDA,2001Rick DeMulling,7.0,220.0,IND,No,G,30.0,24.0,2007.0,0.0,0.0,3.0,31.0,26.0,81.0,,,,,,,,,,,,,,
Anthony Denman,ILB,Notre Dame,6-1,239.0,4.76,,,,,,2001,2001DENMANANTHONYNOT,2001Anthony Denman,7.0,213.0,JAX,No,LB,2.0,21.0,2002.0,0.0,0.0,0.0,2.0,,27.0,,,,,,,,,,,,19.0,,
Ryan Diem,OT,Northern Illinois,6-7,338.0,5.13,34.0,,102.0,7.5,4.46,2001,2001DIEMRYANNOR,2001Ryan Diem,4.0,118.0,IND,No,T,42.0,22.0,2011.0,0.0,0.0,10.0,70.0,70.0,157.0,,,,,,,,,,,,1.0,,
Tony Dixon,S,Alabama,6-1,213.0,4.63,37.0,17.0,117.0,7.38,,2001,2001DIXONTONYALA,2001Tony Dixon,2.0,56.0,DAL,No,DB,9.0,22.0,2004.0,0.0,0.0,0.0,9.0,9.0,56.0,,,,,,,,,,,,90.0,1.0,6
