player_id,year,player_name,position_combine,School,height,weight,forty_yard,vertical_leap,bench_press,broad_jump,three_cone,shuttle_run,nfl_team,position_nfl_standard,draft_round
2009C.J.Spil,2009,C.J. Spillman,S,Marshall,72,197.0,4.45,41.5,,122.0,7.05,4.33,Undrafted,Undrafted,8.0
2009MattStaf,2009,Matthew Stafford,QB,Georgia,74,225.0,4.81,30.5,,107.0,7.06,4.47,DET,QB,1.0
2009SammStro,2009,Sammie Stroughter,WR,Oregon State,69,189.0,4.45,30.0,13.0,110.0,7.03,4.28,TAM,WR,7.0
2009StrySula,2009,Stryker Sulak,DE,Missouri,76,251.0,4.63,31.0,22.0,113.0,7.31,4.58,OAK,DE,6.0
2009TyreSutt,2009,Tyrell Sutton,RB,Northwestern,68,211.0,4.64,33.0,,114.0,6.94,4.32,Undrafted,Undrafted,8.0
2009Sam Swan,2009,Sam Swank,K,Wake Forest,72,193.0,4.95,,,,,,Undrafted,Undrafted,8.0
2009NateSwif,2009,Nate Swift,WR,Nebraska,73,203.0,4.63,35.5,12.0,110.0,6.78,4.24,Undrafted,Undrafted,8.0
2009BranTate,2009,Brandon Tate,WR,North Carolina,72,183.0,4.52,,,,,,NWE,WR,3.0
2009TerrTayl,2009,Terrance Taylor,DT,Michigan,72,306.0,5.08,30.0,37.0,104.0,7.78,5.06,IND,DT,4.0
2009CurtTayl,2009,Curtis Taylor,S,LSU,74,209.0,4.49,37.5,13.0,129.0,7.25,4.23,SFO,DB,7.0
2009JaimThom,2009,Jaimie Thomas,OG,Maryland,76,323.0,5.29,,20.0,,,,IND,T,7.0
2009MikeThom,2009,Mike Thomas,WR,Arizona,68,195.0,4.3,40.5,,126.0,6.65,4.28,JAX,WR,4.0
2009MorgTren,2009,Morgan Trent,CB,Michigan,73,193.0,4.5,38.0,23.0,127.0,7.05,4.01,CIN,DB,6.0
2009FenuTupo,2009,Fenuki Tupou,OT,Oregon,77,314.0,5.2,25.5,24.0,94.0,8.33,5.02,PHI,T,5.0
2009PatrTurn,2009,Patrick Turner,WR,USC,77,223.0,4.59,,,,,,MIA,WR,3.0
2009BranUnde,2009,Brandon Underwood,S,Cincinnati,73,198.0,4.48,36.5,16.0,125.0,7.0,4.2,GNB,DB,6.0
