Player,Pos,School,AP Ranking,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Year,player_id,year,rnd,pick,tm,hof,pos,position_standard,first4av,age,to,ap1,pb,st,carav,drav,g,cmp,pass_att,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_tds,rec,rec_yds,rec_tds,tkl,def_int,sk,college_univ
Bubba Franks,TE,Miami (FL),,6-Jun,265,4.85,,,,,,2000,FranBu00,2000,1,14,GNB,No,TE,TE,16,22,2008,0,3,6,19,18,122,1,1,31,1,0,,,,262,2347,32,16,,,Miami (FL)
Todd Franz,S,Tulsa,,1-Jun,199,4.55,,14,,,,2000,FranTo21,2000,5,145,DET,No,DB,DB,3,24,2005,0,0,0,3,,46,,,,,,,,,,,,40,1,,Tulsa
Arturo Freeman,S,South Carolina,,Jun-00,188,4.5,35.5,14,124,6.91,4.38,2000,FreeAr20,2000,5,152,MIA,No,DB,DB,15,23,2005,0,0,2,14,14,74,,,,,,,,,,,,139,5,3.5,South Carolina
Byron Frisch,DE,BYU,,4-Jun,281,4.73,34.5,31,114,7.2,4.41,2000,FrisBy20,2000,3,93,TEN,No,DE,DE,2,23,2002,0,0,0,2,,23,,,,,,,,,,,,15,,5,BYU
Mondriel Fulcher,FB,Miami (FL),,3-Jun,253,4.85,27,18,116,7.46,4.52,2000,FulcMo20,2000,7,227,OAK,No,TE,TE,0,23,2002,0,0,0,0,0,25,,,,,,,,,0,0,0,8,,,Miami (FL)
Jason Gavadza,TE,Kent State,,3-Jun,249,4.62,32.5,22,113,7.15,4.3,2000,,2000,6,204,PIT,No,TE,TE,0,,,0,0,0,,,,,,,,,,,,,,,,,,Kent St.
Trevor Gaylor,WR,Miami (OH),,3-Jun,199,4.56,37.5,,121,7.03,4.29,2000,GaylTr00,2000,4,111,SDG,No,WR,WR,7,22,2002,0,0,0,7,3,34,,,,,,,,,52,784,4,4,,,Miami (OH)
Kabeer Gbaja-Biamila,OLB,San Diego State,,4-Jun,243,4.65,34,21,120,6.9,4.28,2000,GbajKa20,2000,5,149,GNB,No,DE,DE,31,23,2008,0,1,5,44,44,124,,,,,,,,,,,,215,1,74.5,San Diego St.
Sherrod Gideon,WR,Southern Miss,,11-May,173,4.66,,,,,,2000,,2000,6,200,NOR,No,WR,WR,0,,,0,0,0,,,,,,,,,,,,,,,,,,Southern Miss
Ian Gold,OLB,Michigan,,1-Jun,221,4.56,33,21,115,6.97,4.19,2000,GoldIa00,2000,2,40,DEN,No,LB,LB,25,22,2007,0,1,5,41,35,115,,,,,,,,,,,,422,4,17,Michigan
Dwayne Goodrich,CB,Tennessee,,11-May,195,4.45,,,,,,2000,GoodDw20,2000,2,49,DAL,No,DB,DB,1,22,2002,0,0,0,1,1,16,,,,,,,,,,,,8,,,Tennessee
Deon Grant,S,Tennessee,,2-Jun,209,4.5,,15,,,,2000,GranDe21,2000,2,57,CAR,No,DB,DB,40,21,2011,0,0,9,59,22,176,,,,,,,,,,,,623,30,6.5,Tennessee
Ernest Grant,DT,Ark-Pine Bluff,,5-Jun,316,5.31,29.5,24,98,8,5.03,2000,GranEr20,2000,6,167,MIA,No,DT,DT,3,24,2002,0,0,0,3,2,24,,,,,,,,,,,,18,,0.5,Ark-Pine Bluff
Barrett Green,OLB,West Virginia,,Jun-00,233,4.56,36,22,120,,,2000,GreeBa20,2000,2,50,DET,No,LB,LB,22,22,2005,0,0,4,21,17,65,,,,,,,,,,,,191,,5,West Virginia
Mike Green,S,NW State (LA),,Jun-00,189,4.53,38.5,,118,,4.2,2000,GreeMi00,2000,7,213,TEN,No,RB,RB,2,24,2002,0,0,0,2,2,32,0,2,0,0,2,36,142,1,19,121,2,6,,,Houston
Mike Green,FB,Houston,,Jun-00,253,4.78,28.5,25,108,7.08,4.34,2000,GreeMi00,2000,7,213,TEN,No,RB,RB,2,24,2002,0,0,0,2,2,32,0,2,0,0,2,36,142,1,19,121,2,6,,,Houston
Cornelius Griffin,DE,Alabama,,3-Jun,297,4.9,31,30,111,7.63,4.62,2000,GrifCo20,2000,2,42,NYG,No,DT,DT,36,23,2009,0,0,9,59,18,146,,,,,,,,,,,,333,2,29,Alabama
Clark Haggans,OLB,Colorado State,,3-Jun,253,4.97,31.5,20,109,7.12,4.21,2000,HaggCl20,2000,5,137,PIT,No,LB,LB,13,23,2012,0,0,7,48,30,172,,,,,,,,,,,,355,1,46.5,Colorado St.
Joe Hamilton,QB,Georgia Tech,11,10-May,192,4.81,,,106,,,2000,HamiJo20,2000,7,234,TAM,No,QB,QB,0,23,2000,0,0,0,0,0,1,0,0,0,0,0,1,-2,0,,,,,,,Georgia Tech
