player_id,year,player_name,position_combine,School,height,weight,forty_yard,vertical_leap,bench_press,broad_jump,three_cone,shuttle_run,nfl_team,position_nfl,position_nfl_standard,draft_round,draft_pick
2014MattHaze,2014,Matt Hazel,WR,Coastal Carolina,6 ft 1 in,198.0,4.5,36.5,15.0,118.0,7.08,4.2,MIA,WR,WR,6.0,190.0
2014RobeHerr,2014,Robert Herron,WR,Wyoming,5 ft 9 in,193.0,4.48,35.5,18.0,125.0,6.84,4.27,TAM,WR,WR,6.0,185.0
2014AnthHitc,2014,Anthony Hitchens,OLB,Iowa,6 ft 0 in,240.0,4.74,31.5,23.0,116.0,7.15,4.45,DAL,LB,LB,4.0,119.0
2014MarqHuff,2014,Marqueston Huff,S,Wyoming,5 ft 11 in,196.0,4.49,35.5,15.0,118.0,7.26,4.19,TEN,DB,DB,4.0,122.0
2014BennJack,2014,Bennett Jackson,CB,Notre Dame,6 ft 0 in,195.0,4.51,38.0,13.0,128.0,6.75,4.0,NYG,DB,DB,6.0,187.0
2014GabeJack,2014,Gabe Jackson,OG,Mississippi State,6 ft 3 in,336.0,5.34,29.0,30.0,108.0,8.25,4.78,OAK,G,G,3.0,81.0
2014Ja'WJame,2014,Ja'Wuan James,OT,Tennessee,6 ft 6 in,311.0,5.26,29.0,22.0,103.0,7.42,4.56,MIA,T,T,1.0,19.0
2014JeffJani,2014,Jeff Janis,WR,Saginaw Valley State,6 ft 3 in,219.0,4.42,37.5,20.0,123.0,6.64,3.98,GNB,WR,WR,7.0,236.0
2014DontJohn,2014,Dontae Johnson,CB,North Carolina State,6 ft 2 in,200.0,4.41,38.5,12.0,124.0,6.82,4.24,SFO,DB,DB,4.0,129.0
2014WeslJohn,2014,Wesley Johnson,C,Vanderbilt,6 ft 5 in,297.0,5.11,29.0,26.0,111.0,7.4,4.64,PIT,OL,C,5.0,173.0
2014DaQuJone,2014,DaQuan Jones,DT,Penn State,6 ft 4 in,322.0,5.35,27.5,25.0,101.0,7.73,4.78,TEN,DT,DT,4.0,112.0
2014LamaJoyn,2014,Lamarcus Joyner,CB,Florida State,5 ft 8 in,184.0,4.55,37.5,14.0,124.0,7.26,4.4,STL,DB,DB,2.0,41.0
2014OdelBeck,2014,"Odell Beckham, Jr.",WR,LSU,5 ft 11 in,198.0,4.38,38.5,7.0,122.0,6.69,3.94,NYG,WR,WR,1.0,12.0
2014DevoKenn,2014,Devon Kennard,OLB,USC,6 ft 3 in,249.0,4.7,30.0,23.0,113.0,7.25,4.32,NYG,DE,DE,5.0,174.0
2014CyruKoua,2014,Cyrus Kouandjio,OT,Alabama,6 ft 7 in,322.0,5.59,27.5,21.0,96.0,7.71,4.84,BUF,T,T,2.0,44.0
2014DemaLawr,2014,Demarcus Lawrence,DE,Boise State,6 ft 3 in,251.0,4.8,34.5,20.0,113.0,7.46,4.31,DAL,DE,DE,2.0,34.0
2014NeviLaws,2014,Nevin Lawson,CB,Utah State,5 ft 9 in,190.0,4.48,33.0,16.0,120.0,7.12,4.4,DET,DB,DB,4.0,133.0
2014CharLeno,2014,Charles Leno,OG,Boise State,6 ft 4 in,303.0,5.25,29.0,21.0,108.0,7.57,4.4,CHI,T,T,7.0,246.0
2014TaylLewa,2014,Taylor Lewan,OT,Michigan,6 ft 7 in,309.0,4.87,30.5,29.0,117.0,7.39,4.49,TEN,T,T,1.0,11.0
2014ArthLync,2014,Arthur Lynch,TE,Georgia,6 ft 5 in,258.0,4.82,29.5,28.0,116.0,7.38,4.35,MIA,TE,TE,5.0,155.0
2014KhalMack,2014,Khalil Mack,OLB,Buffalo,6 ft 3 in,251.0,4.65,40.0,23.0,128.0,7.08,4.18,OAK,LB,LB,1.0,5.0
2014CassMars,2014,Cassius Marsh,DE,UCLA,6 ft 4 in,252.0,4.89,32.0,14.0,108.0,7.08,4.25,SEA,DE,DE,4.0,108.0
2014KareMart,2014,Kareem Martin,DE,North Carolina,6 ft 6 in,272.0,4.72,35.5,22.0,129.0,7.2,4.33,ARI,DE,DE,3.0,84.0
2014ZackMart,2014,Zack Martin,OG,Notre Dame,6 ft 4 in,308.0,5.22,28.0,29.0,106.0,7.65,4.59,DAL,G,G,1.0,16.0
2014JakeMatt,2014,Jake Matthews,OT,Texas A&M,6 ft 5 in,308.0,5.07,30.5,24.0,105.0,7.34,4.47,ATL,T,T,1.0,6.0
2014JordMatt,2014,Jordan Matthews,WR,Vanderbilt,6 ft 3 in,212.0,4.46,35.5,21.0,120.0,6.95,4.18,PHI,WR,WR,2.0,42.0
2014JeriMcKi,2014,Jerick McKinnon,RB,Georgia Southern,5 ft 9 in,209.0,4.41,40.5,32.0,132.0,6.83,4.12,MIN,RB,RB,3.0,96.0
