player_name,position,school,height,weight,forty_yard,vertical_leap,bench_press,broad_jump,three_cone,shuttle_run,year,player_id,draft_round,draft_pick,ht,bench_press_score,broad_jump_score,forty_yard_score,shuttle_run_score,three_cone_score,vertical_leap_score,combine_score,draft_pick_flag
Travis Claridge,OG,USC,6 ft 5 in,303.0,5.15,31.5,29.0,100.0,7.77,4.86,2000,2000CLARIDGETRAVISUSC,2.0,37.0,77,4.0,3.0,4.0,2.0,3.0,4.0,20.0,1
Danny Clark,ILB,Illinois,6 ft 2 in,245.0,4.75,34.0,20.0,115.0,7.17,4.27,2000,2000CLARKDANNYILL,7.0,245.0,74,2.0,0.0,3.0,0.0,0.0,0.0,5.0,1
Chad Clifton,OT,Tennessee,6 ft 5 in,334.0,5.05,30.5,24.0,102.0,7.58,4.73,2000,2000CLIFTONCHADTEN,2.0,44.0,77,3.0,3.0,4.0,3.0,4.0,4.0,21.0,1
Chris Cole,WR,Texas A&M,6 ft 0 in,191.0,4.37,37.5,15.0,125.0,6.76,4.09,2000,2000COLECHRISTEX,3.0,70.0,72,0.0,4.0,4.0,4.0,4.0,4.0,20.0,1
Chris Coleman,WR,North Carolina State,6 ft 0 in,211.0,4.61,32.5,14.0,110.0,6.79,4.1,2000,2000COLEMANCHRISNOR,8.0,999.0,72,0.0,1.0,1.0,4.0,4.0,1.0,11.0,0
Cosey Coleman,OG,Tennessee,6 ft 4 in,322.0,5.4,28.0,26.0,101.0,8.15,4.97,2000,2000COLEMANCOSEYTEN,2.0,51.0,76,0.0,3.0,2.0,1.0,1.0,3.0,10.0,1
Laveranues Coles,WR,Florida State,5 ft 11 in,192.0,4.41,34.0,15.0,115.0,6.89,4.39,2000,2000COLESLAVERANUESFLO,3.0,78.0,71,0.0,1.0,4.0,1.0,3.0,2.0,11.0,1
Chris Combs,DT,Duke,6 ft 5 in,286.0,5.16,29.5,22.0,105.0,7.675,4.61,2000,2000COMBSCHRISDUK,6.0,173.0,77,1.0,0.0,2.0,0.0,0.0,0.0,3.0,1
Kurth Connell,OT,Washington,6 ft 4 in,291.0,5.49,33.0,27.0,103.0,8.14,4.84,2000,2000CONNELLKURTHWAS,8.0,999.0,76,3.0,3.0,1.0,2.0,1.0,4.0,14.0,0
Rameel Connor,DE,Illinois,6 ft 3 in,276.0,5.0,35.5,25.0,121.0,7.65,4.45,2000,2000CONNORRAMEELILL,8.0,999.0,75,3.0,4.0,1.0,2.0,1.0,4.0,15.0,0
D.J. Cooper,DT,Arkansas,6 ft 3 in,277.0,5.22,28.0,27.0,108.0,7.41,4.49,2000,2000COOPERD.J.ARK,8.0,999.0,75,0.0,3.0,1.0,4.0,4.0,2.0,14.0,0
Ashley Cooper,S,Mississippi State,5 ft 10 in,208.0,4.67,35.0,16.0,117.0,7.06,4.21,2000,2000COOPERASHLEYMIS,8.0,999.0,70,2.0,2.0,1.0,0.0,0.0,0.0,5.0,0
Renard Cox,CB,Maryland,5 ft 11 in,192.0,4.68,38.0,13.0,111.0,7.1,4.2,2000,2000COXRENARDMAR,8.0,999.0,71,2.0,1.0,1.0,0.0,1.0,4.0,9.0,0
Casey Crawford,TE,Virginia,6 ft 6 in,244.0,4.83,32.5,18.0,112.5,7.245,4.375,2000,2000CRAWFORDCASEYVIR,8.0,999.0,78,2.0,0.0,2.0,0.0,0.0,0.0,4.0,0
Sedrick Curry,CB,Texas A&M,6 ft 1 in,197.0,4.44,39.0,14.0,125.0,6.34,3.94,2000,2000CURRYSEDRICKTEX,8.0,999.0,73,0.0,4.0,3.0,4.0,4.0,4.0,19.0,0
