player_id,year,player_name,position_combine,School,height,weight,forty_yard,vertical_leap,bench_press,broad_jump,three_cone,shuttle_run,nfl_team,position_nfl,position_nfl_standard,IF_DRAFTED,draft_round,draft_pick
2000DaviMack,2000,David Macklin,CB,Penn State,5 ft 9 in,194,4.54,37.5,,120,6.9,4.09,IND,DB,DB,1,3,91
2000AnthMalb,2000,Anthony Malbrough,CB,Texas Tech,5 ft 9 in,184,4.44,35.5,20,117,6.73,4,CLE,DB,DB,1,5,130
2000Tee Mart,2000,Tee Martin,QB,Tennessee,6 ft 2 in,227,4.58,34.5,,113,,,PIT,QB,QB,1,5,163
2000TerrMcCa,2000,Terrence McCaskey,TE,Mississippi State,6 ft 5 in,271,5,29,,101,,,,,,0,,
2000KeviMcDo,2000,Kevin McDougal,RB,Colorado State,5 ft 11 in,206,4.63,32,,108,7.08,4.12,,,,0,,
2000StocMcDo,2000,Stockar McDougle,OT,Oklahoma,6 ft 5 in,361,5.5,,24,,,,DET,T,T,1,1,20
2000ChriMcIn,2000,Chris McIntosh,OT,Wisconsin,6 ft 6 in,315,5.39,,28,,,,SEA,T,T,1,1,22
2000DamiMcIn,2000,Damion McIntosh,OT,Kansas State,6 ft 4 in,328,5.31,26,23,97,7.72,4.71,SDG,T,T,1,3,83
2000AlviMcKi,2000,Alvin McKinley,DT,Mississippi State,6 ft 4 in,289,5.09,27.5,22,102,7.73,4.61,CAR,DE,DE,1,4,120
2000RondMeal,2000,Rondell Mealey,RB,LSU,6 ft 0 in,212,4.69,33,,120,6.89,4.15,GNB,RB,RB,1,7,252
2000BradMees,2000,Brad Meester,C,New Mexico,6 ft 3 in,298,5.12,34,25,110,7.46,4.43,JAX,C,C,1,2,60
2000Rob Meie,2000,Rob Meier,DE,Washington State,6 ft 5 in,284,4.99,30.5,27,113,7.49,4.52,JAX,DE,DE,1,7,241
